file_name,scenario_type,dominant_domain,secondary_domains,description,expected_behavior,db_name,dbid,instance_name,snapshot_start,snapshot_end,expected_evidence_layers,expected_topology_context,expected_pressure_context
AWR_CONTRADICT_HOSTCPU_EXTERNAL_01.out,CONTRADICTION,NONE,CPU,"Host CPU is high because of external OS activity, while database DB CPU share and DB load remain modest.","Do not classify as database CPU bottleneck; posture should be observe/external host contention, low severity.",CNTRCPU,8101001001,cntrcpu1,01-Apr-26 09:00:00,01-Apr-26 10:00:00
AWR_CONTRADICT_DBCPU_IOWAIT_02.out,CONTRADICTION,IO,CPU,"DB CPU is high in absolute terms, but user I/O waits dominate total DB time due to storage latency under heavy scan workload.","Rank I/O above CPU; recommendation should target storage/indexing/access path, not CPU scaling first.",CNTRIO,8101001002,cntrio1,01-Apr-26 12:00:00,01-Apr-26 13:00:00
AWR_CONTRADICT_SPIKE_STABLEAVG_03.out,CONTRADICTION,NONE,IO,"A short-lived I/O spike inflated top waits, but overall snapshot averages remain near normal and DB time stays moderate.",Do not over-escalate; classify as transient spike/observe rather than sustained I/O incident.,CNTRAVG,8101001003,cntravg1,01-Apr-26 15:00:00,01-Apr-26 16:00:00
AWR_CONTRADICT_SQLHOT_LOWLOAD_04.out,CONTRADICTION,NONE,CPU,"One SQL statement accounts for most DB time, but total DB time and active sessions remain low, so there is no material instance pressure.",Flag concentrated SQL but keep severity low; no broad system recommendation should be generated.,CNTRSQL,8101001004,cntrsql1,01-Apr-26 18:00:00,01-Apr-26 19:00:00
AWR_CONTRADICT_COMMIT_LOWVOL_05.out,CONTRADICTION,NONE,COMMIT,"Commit latency is elevated, but transaction volume is very low and total DB time is limited.",Do not classify as severe commit bottleneck; note elevated latency but low business impact and low urgency.,CNTRCMT,8101001005,cntrcmt1,01-Apr-26 21:00:00,01-Apr-26 22:00:00
AWR_CONTRADICT_ENDSPIKE_CPU_06.out,CONTRADICTION,CPU,,"CPU usage spikes near the end of the snapshot, but the 60-minute average still shows only moderate overall pressure.","System should identify CPU as transient/moderate at most, not sustained critical saturation.",CNTREND,8101001006,cntrend1,02-Apr-26 00:00:00,02-Apr-26 01:00:00
AWR_MULTI_CPU_IO_07.out,MULTI_DOMAIN,CPU,IO,CPU and user I/O are both materially elevated with no clean separation; SQL mix shows compute-heavy and scan-heavy statements together.,Rank CPU slightly above I/O but retain I/O as strong secondary with moderate-high severity.,MLTCPU1,8101002001,mltcpu1,02-Apr-26 09:00:00,02-Apr-26 10:00:00
AWR_MULTI_CPU_COMMIT_CONCUR_08.out,MULTI_DOMAIN,CPU,COMMIT,"CPU pressure, commit latency, and row lock contention are all present, forcing prioritization across overlapping symptoms.","Rank CPU first, but include commit and application concurrency as meaningful secondary issues; avoid single-cause recommendations.",MLTMIX2,8101002002,mltmix2,02-Apr-26 12:00:00,02-Apr-26 13:00:00,CONCURRENCY,RAC,
AWR_MULTI_RAC_CPU_09.out,MULTI_DOMAIN,RAC,CPU,True RAC contention with gc current and gc cr waits coexisting with moderate CPU pressure and hot-block updates.,Rank RAC first; recommend hot block redistribution or affinity changes before CPU scaling.,RACADV,8101002003,racadv1,02-Apr-26 15:00:00,02-Apr-26 16:00:00
AWR_MULTI_ADG_COMMIT_10.out,MULTI_DOMAIN,ADG,COMMIT,"Active Data Guard lag and commit pressure rise together, making it unclear whether commit latency is local or replication-induced.",Rank ADG slightly above commit; recommendations should inspect transport/apply throughput before redo/commit tuning alone.,ADGADV,8101002004,adgadv1,02-Apr-26 18:00:00,02-Apr-26 19:00:00
AWR_MULTI_MEMORY_IO_11.out,MULTI_DOMAIN,MEMORY,IO,"PGA pressure causes temp spills and amplifies I/O, with both memory inefficiency and storage impact appearing at once.","Rank memory first, but preserve I/O as strong secondary because temp spill is the I/O driver.",MLTMEM1,8101002005,mltmem1,02-Apr-26 21:00:00,02-Apr-26 22:00:00
